nApps = 86
nRes = 6
nActs = 164
nNetworks = 4

assignmentToResources = [1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1,1,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,4,4,4,3,3,3,4,4,4,3,3,3,3,4,5,3,6,3,6,4,5,3,6,3,6,3,6,3,6,4,5,6,6,6,6,6,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,5,5,5,6,6,6,5,5,5,6,6,6,6];

processingTimes = [120,112,104,144,136,80,136,128,120,56,56,120,96,96,104,144,104,168,136,80,104,104,128,112,64,136,64,64,64,136,80,104,112,128,64,136,64,136,128,128,104,128,88,56,56,160,128,112,64,104,3,3000,8,3,3,500,300,4,4,3,3,4,5,13,3,3,5000,3,13,500,3,5000,4,5,3,3000,7,3,3,3,500,1500,3,4,4,3,3,3,1500,3,3,5,5,500,3,3,1500,5,3,3,3,3,4,4,4,4,6,6,4,4,4,4,4,4,500,500,3,3000,8,3,3,500,300,4,4,3,3,4,5,13,3,3,5000,3,13,500,3,5000,4,5,3,3000,7,3,3,3,500,1500,3,4,4,3,3,3,1500,3,3,5,5,500,3,3,1500,5];

periods = [20000,20000,100000,10000,100000,2000,100000,100000,100000,20000,20000,10000,100000,100000,100000,20000,100000,100000,100000,100000,20000,20000,20000,20000,100000,10000,10000,10000,20000,100000,10000,20000,20000,100000,50000,10000,10000,10000,20000,10000,1000,10000,10000,20000,20000,20000,5000,20000,10000,20000,20000,20000,20000,100000,100000,10000,2000,2000,2000,100000,100000,100000,20000,20000,20000,20000,100000,20000,20000,20000,100000,100000,100000,20000,20000,20000,20000,20000,20000,100000,100000,10000,20000,10000,10000,20000,20000,20000,10000,10000,10000,20000,1000,10000,20000,10000,10000,20000,20000,20000,20000,20000,20000,20000,10000,10000,10000,10000,10000,10000,10000,10000,20000,20000,10000,10000,20000,20000,20000,100000,100000,10000,2000,2000,2000,100000,100000,100000,20000,20000,20000,20000,100000,20000,20000,20000,100000,100000,100000,20000,20000,20000,20000,20000,20000,100000,100000,10000,20000,10000,10000,20000,20000,20000,10000,10000,10000,20000,1000,10000,20000,10000,10000,20000];

assignmentToClusters = [1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,1,15,16,17,18,19,20,1,21,22,3,3,23,24,25,26,27,28,29,30,3,3,31,1,32,33,34,3,35,1,36,37,38,32,21,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,1,1,1,1,1,1,3,3,3,3,3,3,3,3,21,21,32,32,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86];

precedenceAdjList = [[99],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[113],[],[105],[107,109],[],[],[],[],[],[],[],[],[],[],[],[44,103],[],[],[],[26,111],[],[15,101],[],[],[],[115],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[44],[98],[1],[100],[22],[102],[3],[104],[25],[106],[36],[108],[35],[110],[49],[112],[39],[114],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69],[70],[71],[72],[73],[74],[75],[76],[77],[78],[79],[80],[81],[82],[83],[84],[85],[86],[87],[88],[89],[90],[91],[92],[93],[94],[95],[96],[97]];
